HMLabel,HMUdogodnienia,HMMieszkania,n,USIfeature
Basen,8,,166,Basen
basen,8,,0,Basen
klub fitness,4,,89,Klub fitness
sala fitness,4,,242,Klub fitness
sauna,4,,187,Sauna
eleganckie lobby wejściowe z recepcją,4,,0,Lobby z recepcją
sala kinowa,4,,0,Sala kinowa
Sala klubowa,4,,0,Sala klubowa
Sala zabaw dla dzieci,4,,0,Sala zabaw
Strafa co-workingu,4,,0,Strefa co-working
Strefa fitness,4,,0,Klub fitness
Strefa relaksu,4,,0,Strefa relaksu
Siłownia,4,,151,Siłownia
usługi concierge,4,,86,Concierge
pomieszczenie rekreacyjne,2,,196,Pomieszczenie rekreacyjne
recepcja,2,,329,Recepcja
pralnia,1,,0,Pralnia
wózkarnia,1,,709,Wózkarnia
Ochrona,1,,71,Ochrona
rowerownia,1,,1393,Rowerownia
monitoring / ochrona,1,,0,Monitoring
ochrona całodobowa,1,,581,Ochrona
Monitoring,1,,2291,Monitoring
workroom,1,,0,Co-working
Pomieszczenie na rowery,1,,516,Rowerownia
Termin oddania: luty 2026,,,1,
znakomita lokalizacja,,,0,
klimatyzacja,,1,404,Klimatyzacja
inteligentny dom,,,528,
siłownia plenerowa,,,309,
pompa ciepła,,,301,
Piwnica,,,286,
własna kotłownia,,,251,
Strefa wypoczynku,0,,546,Strefa wypoczynku
Czujnik dymu,,,224,
Teren zamknięty,,,566,
boisko,,,188,
videodomofon,,1,601,
paczkomat,,,179,
Powierzchnie zewnętrzne,,,167,
Przyjazny dla osób niepełnosprawnych,,,614,
garaż,,,162,
System alarmowy,,1,159,
Plac zbaw,,,619,
Teren,,,143,
rekuperacja,,1,135,
garaż podziemny,,,132,
miejsca parkingowe dla gości,,,131,
Budynek,,,123,
powierzchnie dodatkowe: komórka lokatorska,,,93,
miejsce do ładowania samochodów elektrycznych,,,698,
patio / dziedziniec,,,719,
Powierzchnie dodatkowe,,,77,
garaż: parking podziemny,,,73,
własny akwen,,,72,
przystosowane dla niepełnosprawnych,,,784,
"garaż: parking naziemny, parking podziemny",,,70,
Boiska sportowe,,,69,
komórka lokatorska,,,66,
Dla niepełnosprawnych,,,51,
korty tenisowe,,,48,
"powierzchnie zewnętrzne: balkon, taras, ogródek",,,33,
"wysokość mieszkania: 2,60 m",,,32,
termin oddania: gotowe do odbioru,,,30,
przystań dla łodzi,,,24,
własne ujęcie wody,,,24,
garaż: parking naziemny,,,20,
"powierzchnie zewnętrzne: balkon, ogródek",,,19,
"wysokość mieszkania: 2,70 m",,,18,
basement,,,18,
Termin oddania,,,17,
powierzchnie zewnętrzne: balkon,,,16,
Dostępna liczba ofert,,,16,
termin oddania: iv kwartał 2027,,,15,
termin oddania: i kwartał 2027,,,14,
budynek: usługi,,,14,
termin oddania: iv kwartał 2026,,,14,
Wysokość mieszkania,,,14,
gym,,,13,
Teren: plac zabaw,,,13,
termin oddania: iii kwartał 2027,,,12,
"powierzchnie zewnętrzne: balkon, ogródek, taras",,,12,
"wysokość mieszkania: 2,69 m",,,12,
"garaż: hala garażowa, parking naziemny",,,11,
"powierzchnie zewnętrzne: balkon, taras",,,10,
"powierzchnie zewnętrzne: balkon, loggia, taras, ogródek",,,10,
"Budynek: rowerownia, usługi",,,10,
"powierzchnie zewnętrzne: taras, ogródek, balkon",,,9,
garaż: hala garażowa,,,9,
"wysokość mieszkania: 2,65 m",,,9,
"wysokość mieszkania: 2,62 m",,,9,
teren: miejsca parkingowe,,,8,
termin oddania: ii kwartał 2026,,,8,
"powierzchnie zewnętrzne: balkon, taras, ogródek, loggia",,,7,
budynek: rowerownia,,,7,
"powierzchnie zewnętrzne: loggia, balkon, taras, ogródek",,,7,
termin oddania: ii kwartał 2027,,,7,
Wys. apartamentu,,,7,
termin oddania: i kwartał 2028,,,6,
"wysokość mieszkania: 2,55 m",,,6,
"wysokość mieszkania: 2,75 m",,,6,
"teren: miejsca parkingowe, plac zabaw",,,6,
powierzchnie zewnętrzne: loggia,,,6,
